plugin,type,url,notes
advanced-bungee-announcer,spigot,https://www.spigotmc.org/resources/advancedbungeeannouncer.593,
askyblock,spigot,https://www.spigotmc.org/resources/a-skyblock.1220,
bags,spigot,https://www.spigotmc.org/resources/bags.20094,
bungeeadmintools,spigot,https://www.spigotmc.org/resources/bungee-admin-tools-basics-edition.444,
bungeechatfilter,spigot,https://www.spigotmc.org/resources/bungeechatfilter.215,
bungeemail,jenkins,http://ci.codecrafter47.dyndns.eu/job/BungeeMail,
bungeeportals,spigot,https://www.spigotmc.org/resources/bungeeportals.19,
bungeetablistplus,jenkins,http://ci.codecrafter47.dyndns.eu/job/BungeeTabListPlus,
bungeewhitelist,spigot,https://www.spigotmc.org/resources/bungeewhitelist.8824,
citizens,jenkins,http://ci.citizensnpcs.co/job/Citizens2,
cleanroomgenerator,static,http://dev.bukkit.org/media/files/584/81/CleanroomGenerator.jar,
coreprotect,spigot,https://www.spigotmc.org/resources/coreprotect.8631,
craftbook,jenkins,http://ci.md-5.net/job/CraftBook,
craftconomy,spigot,https://www.spigotmc.org/resources/craftconomy.2395,
deluxemenus,spigot,https://www.spigotmc.org/resources/deluxemenus.11734,
dynmap,spigot,https://www.spigotmc.org/resources/dynmap.274,
dynmap-factions,static,http://dev.bukkit.org/media/files/836/866/Dynmap-Factions-0.90.jar,
dynmap-worldguard,static,http://dev.bukkit.org/media/files/836/852/Dynmap-WorldGuard-0.80.jar,
empbungee,static,http://resources.guild-hosting.net/201604240553/downloads/empbungee/3.0.1/EMPBungee.jar,
essentialsx,jenkins,http://ci.drtshock.net/job/essentialsx,includes all essentials plugins
factionchat,jenkins,http://jenkins.lolnet.co.nz/job/FactionChat,
factions,spigot,https://www.spigotmc.org/resources/factions.1900,includes MassiveCore.jar
greenhouses,spigot,https://www.spigotmc.org/resources/greenhouses.910,
logmover,spigot,https://www.spigotmc.org/resources/logmover.4421,
mcmmo,jenkins,http://ci.drtshock.net/job/MCMMO,
multiverse-core,jenkins,http://ci.onarandombox.com/view/Multiverse/job/Multiverse-Core,
multiverse-portals,jenkins,http://ci.onarandombox.com/view/Multiverse/job/Multiverse-Portals,
mysqlecobridge,spigot,https://www.spigotmc.org/resources/mysql-economy-bridge.6174,
mythicmobs,spigot,https://www.spigotmc.org/resources/mythicmobs.5702,
nuvotifier-universal,spigot,https://www.spigotmc.org/resources/nuvotifier.13449,
openinv,spigot,https://www.spigotmc.org/resources/openinv-1_7_r4-1_8_r3-and-1_9_r1.19454,
permissionsex,jenkins,https://ci.yawk.at/view/PermissionsEx/job/PermissionsEx,
phatloots,static,https://github.com/Codisimus/PhatLoots/releases/download/v4.2.3/PhatLoots.jar,
placeholderapi,spigot,https://www.spigotmc.org/resources/placeholderapi.6245,
plotsquared,spigot,https://www.spigotmc.org/resources/plotsquared.1177,
protocollib,spigot,https://www.spigotmc.org/resources/protocollib.1997,
quests,spigot,https://www.spigotmc.org/resources/quests.3711,
supervanish,spigot,https://www.spigotmc.org/resources/supervanish-1-7-1-8-1-9-compatible.1331,
vault,static,http://dev.bukkit.org/media/files/894/359/Vault.jar,
worldborder,static,http://dev.bukkit.org/media/files/906/898/WorldBorder.jar,
worldedit,enginehub,http://builds.enginehub.org/job/worldedit/last-successful?branch=master,
worldguard,enginehub,http://builds.enginehub.org/job/worldguard/last-successful?branch=master,
yamler-bungee,spigot,https://www.spigotmc.org/resources/yamler.315,
